word,topic_id,importance,word_count
one,0,0.005339438,536
city,0,0.0047322996,530
also,0,0.0040963423,336
around,0,0.0036961206,395
de,0,0.0033888428,609
best,0,0.003208654,226
first,0,0.0027667156,232
along,0,0.0025037148,262
town,0,0.0024053531,370
south,0,0.0023028478,241
de,1,0.008009386,609
city,1,0.0036685653,530
town,1,0.0033878912,370
it’s,1,0.0032830352,378
la,1,0.0028785458,201
one,1,0.0028776773,536
north,1,0.002544756,249
east,1,0.0024933687,162
years,1,0.0024642032,168
two,1,0.0023333018,256
city,2,0.004980025,530
one,2,0.0045626536,536
de,2,0.003705998,609
around,2,0.0033765305,395
lake,2,0.003067678,193
though,2,0.0028721557,257
town,2,0.0026543834,370
along,2,0.0025272751,262
it’s,2,0.002429747,378
still,2,0.0024087764,219
it’s,3,0.004418241,378
de,3,0.004372981,609
one,3,0.0040727495,536
around,3,0.0035685785,395
town,3,0.0033168008,370
city,3,0.0032839195,530
main,3,0.002960876,224
many,3,0.0029417688,255
though,3,0.0027797462,257
centre,3,0.0024889542,239
